timestamp,reading
1707189594.47264,Reading: 6.0 lbs
1707189594.56049,Reading: 6.0 lbs
1707189594.647,Reading: 6.0 lbs
1707189594.73526,Reading: 5.9 lbs
1707189594.82372,Reading: 5.9 lbs
1707189594.91124,Reading: 5.9 lbs
1707189594.99867,Reading: 5.9 lbs
1707189595.08683,Reading: 6.0 lbs
1707189595.17431,Reading: 6.1 lbs
1707189595.26239,Reading: 6.2 lbs
1707189595.34988,Reading: 6.3 lbs
1707189595.43743,Reading: 6.3 lbs
1707189595.5256,Reading: 6.4 lbs
1707189595.61197,Reading: 6.5 lbs
1707189595.70063,Reading: 6.7 lbs
1707189595.78881,Reading: 7.0 lbs
1707189595.87648,Reading: 7.3 lbs
1707189595.96318,Reading: 7.6 lbs
1707189596.05164,Reading: 8.1 lbs
1707189596.13889,Reading: 8.5 lbs
1707189596.22733,Reading: 8.8 lbs
1707189596.31396,Reading: 9.0 lbs
1707189596.40274,Reading: 9.3 lbs
1707189596.4902,Reading: 9.6 lbs
1707189596.57811,Reading: 10.0 lbs
1707189596.66559,Reading: 10.3 lbs
1707189596.7542,Reading: 10.6 lbs
1707189596.84141,Reading: 10.8 lbs
1707189596.9295,Reading: 10.5 lbs
1707189597.01646,Reading: 9.9 lbs
1707189597.10446,Reading: 8.9 lbs
1707189597.19267,Reading: 8.1 lbs
1707189597.27911,Reading: 7.5 lbs
1707189597.36786,Reading: 6.7 lbs
1707189597.45568,Reading: 6.0 lbs
1707189597.54352,Reading: 5.3 lbs
1707189597.62989,Reading: 4.7 lbs
1707189597.71874,Reading: 4.3 lbs
1707189597.80596,Reading: 4.3 lbs
1707189597.89447,Reading: 4.5 lbs
1707189597.98163,Reading: 4.7 lbs
1707189598.06925,Reading: 5.3 lbs
1707189598.15702,Reading: 6.4 lbs
1707189598.24414,Reading: 6.5 lbs
1707189598.3327,Reading: 5.5 lbs
1707189598.42017,Reading: 4.8 lbs
1707189598.50814,Reading: 5.0 lbs
1707189598.59554,Reading: 5.9 lbs
1707189598.68275,Reading: 6.2 lbs
1707189598.77136,Reading: 6.6 lbs
1707189598.859,Reading: 7.0 lbs
1707189598.94678,Reading: 7.2 lbs
1707189599.03436,Reading: 7.2 lbs
1707189599.12265,Reading: 7.6 lbs
1707189599.21039,Reading: 7.9 lbs
1707189599.29784,Reading: 8.0 lbs
1707189599.38544,Reading: 8.0 lbs
1707189599.47362,Reading: 8.2 lbs
1707189599.56147,Reading: 8.4 lbs
1707189599.64803,Reading: 8.5 lbs
1707189599.73619,Reading: 8.5 lbs
1707189599.82445,Reading: 8.5 lbs
1707189599.91345,Reading: 8.6 lbs
1707189599.99909,Reading: 8.6 lbs
1707189600.0872,Reading: 8.6 lbs
1707189600.17513,Reading: 8.6 lbs
1707189600.26335,Reading: 8.6 lbs
1707189600.35054,Reading: 8.4 lbs
1707189600.4379,Reading: 8.3 lbs
1707189600.52655,Reading: 8.2 lbs
1707189600.61385,Reading: 8.0 lbs
1707189600.7017,Reading: 7.8 lbs
1707189600.79207,Reading: 7.4 lbs
1707189600.87691,Reading: 7.2 lbs
1707189600.96397,Reading: 7.2 lbs
1707189601.05226,Reading: 7.2 lbs
1707189601.1406,Reading: 7.3 lbs
